Tibetan Name (Original),File Number,English Name,Status, Section ,,,
 ??? ???????????????????????????????? , 4|1 ,Department of Religion & Culture,Active, Head Office ,,,
 ??? ????????????????????? , 4|2 ,Library of Tibetan Works and Archives (LTWA),Active, Head Office ,,,
 ??? ???????????????????????????? , 4|3 ,Department of Education,Active, Head Office ,,,
 ???(?) ?????????????????????????? , 4|3 A ,STSS Head Office,Active, Head Office ,,,
 ???? ??????????????????? , 4|11 ,Sherig Parkhang,Active, Head Office ,,,
 ???? ???????????????????????????????????????????? , 4|12 ,TCV Head Office,Active, Head Office ,,,
 ???? ????????????????????????????? , 4|13 ,TCV Handicraft-Cum-Vocational Traning Centre,Active, Head Office ,,,
 ???? ????????????????? , 4|15 ,Department of Information and International Relations (DIIR),Active, Head Office ,,,
 ???? ???????????????????????????? , 4|25 ,Hotel Tibet Dharamshala ,Active, Head Office ,,,
 ???? ????????????????????? , 4|29 ,Department of Health,Active, Head Office ,,,
 ???? ????????????????? , 4|30 ,Delek Hospital,Active, Head Office ,,,
 ???? ??????????????????????????????????????? , 4|31 ,Mentsekhang Head Office,Active, Head Office ,,,
, 4|31 A ,Mentsekhang Branches (Under Head Office),Active, Head Office ,,,
, 4|31 B ,Mentsekhang HPRD,Active, Head Office ,,,
, 4|31 C ,Mentsekhang Menzoe (Medicine Godown),Active, Head Office ,,,
, 4|31 D ,Mentsekhang Pharmacy,Active, Head Office ,,,
 ???? ???????????????? , 4|40 ,Office of Auditor General,Active, Head Office ,,,
 ???? ????????????????????????? , 4|41 ,Lower TCV School,Active, Head Office ,,,
 ???? ??????????????????????????????????????? , 4|44 ,Department of Home,Active, Head Office ,,,
 ???? ??????????????????????????? , 4|46 ,"Dharamshala Tibetan 
Handicraft Production Cum Sales Co-operative industrial society ltd",Active, Head Office ,,,
 ???? ????????????????????????????? , 4|47 ,Dalhousie Tibetan Refugee Handicraft Center (Phuntsokling),Active, Head Office ,,,
 ???? ???????????????????????????? , 4|82 ,Reception Center(Head Office),Active, Head Office ,,,
 ???? ???????????????? , 4|86 ,Chi-Par Section,Active, Head Office ,,,
 ???? ????????????????????????????????????? , 4|88 ,Department of Finance,Active, Head Office ,,,
 ???? ???????????????????????????????? , 4|89 ,TAWS Gas,Active, Head Office ,,,
 ????? ????????????????? , 4|101 ,Kashag Secretariat,Active, Head Office ,,,
 ????? ????????????????? , 4|102 ,Planning Commision,Active, Head Office ,,,
 ????? ???????????????????????????? , 4|104 ,Public Service Commission,Active, Head Office ,,,
